top - 09:30:52 up 2 days, 17:21,  1 user,  load average: 0,08, 0,27, 0,39
Tarefas: 264 total,   1 em exec., 216 dormindo,   0 parado,   0 zumbi
%CPU(s):  5,5 us,  2,0 sis,  0,4 ni, 91,8 oc,  0,3 ag,  0,0 ih,  0,1 is  0,0 tr
KB mem :  5986548 total,   794320 livre,  2676912 usados,  2515316 buff/cache
KB swap:  2097148 total,  2093564 livre,     3584 usados,  2785580 mem dispon.

  PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU %MEM    TEMPO+ COMANDO
 2353 mateus    20   0  267224   6160   5600 S   0,0  0,1   0:00.02 gvfs-goa-v+
 2357 mateus    20   0  281944   6900   6084 S   0,0  0,1   0:00.02 gvfs-gphot+
 2371 mateus    20   0  271932   6472   5132 S   0,0  0,1   0:00.02 gsd-disk-u+
 2377 mateus    20   0  735924  32896  25636 S   0,0  0,5   0:03.87 nm-applet
 2825 mateus    20   0 1351436 206452  39808 S   0,0  3,4   0:15.17 gnome-soft+
 2850 root      20   0  515452  69408  13428 S   0,0  1,2   0:24.12 packagekitd
 2859 root      20   0  290228   7004   6272 S   0,0  0,1   0:00.03 boltd
 3017 mateus    20   0  197856   6272   5484 S   0,0  0,1   0:00.01 gvfsd-meta+
 3052 mateus    20   0  864464  34324  28096 S   0,0  0,6   0:00.08 deja-dup-m+
 6082 mateus    20   0 1079560 302524 101372 S   0,0  5,1   1:07.62 chrome
 7575 mysql     20   0 1424360 178344  15680 S   0,0  3,0   0:01.68 mysqld
 8161 root      20   0  100988   8664   6936 S   0,0  0,1   0:00.01 cupsd
 8162 root      20   0  303528  11072   9644 S   0,0  0,2   0:00.02 cups-brows+
 8179 www-data  20   0  563768  17604   9976 S   0,0  0,3   0:00.00 apache2
 8180 www-data  20   0  563768  17604   9976 S   0,0  0,3   0:00.00 apache2
 8181 www-data  20   0  563768  17604   9976 S   0,0  0,3   0:00.00 apache2
 8184 www-data  20   0  563768  17604   9976 S   0,0  0,3   0:00.00 apache2
 8185 www-data  20   0  563768  17604   9976 S   0,0  0,3   0:00.00 apache2
10846 mateus    20   0  437592   7968   7044 S   0,0  0,1   0:00.03 gvfsd-netw+
10901 mateus    20   0  374472   7576   6672 S   0,0  0,1   0:00.02 gvfsd-dnssd
16990 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 xfsalloc
16998 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 xfs_mru_ca+
17003 root      20   0       0      0      0 S   0,0  0,0   0:00.00 jfsIO
17004 root      20   0       0      0      0 S   0,0  0,0   0:00.00 jfsCommit
17005 root      20   0       0      0      0 S   0,0  0,0   0:00.00 jfsCommit
17006 root      20   0       0      0      0 S   0,0  0,0   0:00.00 jfsSync
17293 mateus    20   0  747400 134276  81376 S   0,0  2,2   0:05.37 chrome
17343 mateus    20   0  426944   9360   8048 S   0,0  0,2   0:00.04 zeitgeist-+
17349 mateus    20   0  326752  16392  13848 S   0,0  0,3   0:00.07 zeitgeist-+
17407 mateus    20   0  423460 215516  90464 S   0,0  3,6   0:28.41 clangbacke+
17606 root      20   0       0      0      0 I   0,0  0,0   0:00.51 kworker/u1+
17678 mateus    20   0  797732  39640  29908 S   0,0  0,7   0:02.34 gnome-term+
17688 mateus    20   0   22872   5260   3592 S   0,0  0,1   0:00.09 bash
17702 mateus    20   0  731940 124208  81512 S   0,0  2,1   0:02.08 chrome
17806 mateus    20   0  727328 120916  79272 S   0,0  2,0   0:01.01 chrome
17825 mateus    20   0  730144 121940  79144 S   0,0  2,0   0:01.07 chrome
18302 root      20   0       0      0      0 I   0,0  0,0   0:00.27 kworker/0:+
